timestamp,open,high,low,close,adjusted close,volume,dividend amount
2021-09-17,448.6400,448.9200,441.0200,441.4000,422.2757,436939783,1.4281
2021-09-10,452.7100,452.8100,445.3100,445.4400,424.7664,255772022,0.0000
2021-09-03,450.9700,454.0500,450.7100,453.0800,432.0518,246444177,0.0000
2021-08-27,445.1600,450.6500,443.4355,450.2500,429.3531,269312148,0.0000
2021-08-20,444.5300,447.1100,436.1200,443.3600,422.7829,420777686,0.0000
2021-08-13,442.4600,445.9400,441.3100,445.9200,425.2241,206211782,0.0000
2021-08-06,440.3400,442.9400,436.1000,442.4900,421.9533,249469072,0.0000
2021-07-30,439.3100,441.8000,435.9900,438.5100,418.1580,278450184,0.0000
2021-07-23,426.1900,440.3000,421.9700,439.9400,419.5216,423964739,0.0000
2021-07-16,435.4300,437.9200,430.9200,431.3400,411.3208,300932269,0.0000
2021-07-09,433.7800,435.8400,427.5200,435.5200,415.3068,306093691,0.0000
2021-07-02,427.1700,434.1000,425.8900,433.7200,413.5903,265096649,0.0000
2021-06-25,416.8000,427.0943,415.9300,426.6100,406.8103,283207558,0.0000
2021-06-18,424.4300,425.4600,414.7000,414.9200,395.6629,382743016,1.3759
2021-06-11,422.5900,424.6300,420.3200,424.3100,403.2798,243716628,0.0000
2021-06-04,422.5700,422.9200,416.2800,422.6000,401.6545,217391238,0.0000
2021-05-28,417.3400,421.2500,417.0800,420.0400,399.2214,267144557,0.0000
2021-05-21,415.3900,418.2000,405.3300,414.9400,394.3742,386007391,0.0000
2021-05-14,422.5000,422.7400,404.0000,416.5800,395.9329,522147059,0.0000
2021-05-07,419.4300,422.8150,411.6700,422.1200,401.1983,351735274,0.0000
2021-04-30,417.4400,420.7200,416.3000,417.3000,396.6172,318795661,0.0000
2021-04-23,416.2600,418.2500,410.5900,416.7400,396.0850,398002290,0.0000
2021-04-16,410.8500,417.9100,410.2000,417.2600,396.5792,317182914,0.0000
2021-04-09,403.4600,411.6700,403.3800,411.4900,391.0952,328509670,0.0000
2021-04-01,394.4000,400.6700,392.8100,400.6100,380.7544,396786965,0.0000
2021-03-26,390.0300,396.4100,383.9000,395.9800,376.3539,492591578,0.0000
2021-03-19,394.3300,398.1200,387.1500,389.4800,370.1761,474247664,1.2778
